ticker,name,sector,industry,price_usd,change_pct,pe_ratio,div_yield_pct,mkt_cap_usd,52w_high,52w_low,52w_position,analyst_rating,beta,revenue_bn,profit_margin,price_to_book,debt_to_equity,roe_pct,earnings_growth
MMM,3M Company,Industrials,Conglomerates,180.94,0.41,32.2,173.0,93314818048,184.9,139.34,91.3,Buy,1.08,25.2,11.9,31.61,437.94,81.89,32.8
AOS,A.O. Smithoration,Industrials,Specialty Industrial Machinery,60.86,-0.88,17.1,235.0,8271395840,81.87,54.16,24.2,Hold,1.16,3.8,13.1,4.49,36.77,27.13,-15.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,112.68,2.09,35.7,228.0,196267507712,137.49,81.97,55.3,Buy,0.58,46.6,11.6,3.81,63.21,10.58,-47.5
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,258.92,3.43,73.3,276.0,457542041600,267.47,190.75,88.9,Buy,0.28,64.4,9.8,,,,290.4
ACN,Accenture plc,Technology,Information Technology Services,172.93,1.74,13.6,384.0,105823141888,291.09,118.15,31.7,Buy,1.07,73.1,10.7,3.32,25.04,24.41,9.0
ADBE,Adobe,Technology,Software - Application,263.14,3.58,14.5,0.0,104598159360,370.86,190.12,40.4,Hold,1.4,25.2,28.7,9.12,61.44,62.95,7.9
AMD,"Advanced Micro Devices,",Technology,Semiconductors,484.39,-4.27,129.9,0.0,790754623488,584.73,149.22,77.0,Buy,2.49,41.3,15.6,11.76,6.36,10.2,159.5
AES,The AESoration,Utilities,Utilities - Diversified,14.74,-0.14,5.5,477.0,10511944704,17.65,12.33,45.3,Hold,0.95,13.1,14.3,2.13,256.89,9.57,19.9
AFL,AFLACorporated,Financial Services,Insurance - Life,121.73,0.62,13.1,202.0,61028519936,130.22,104.66,66.8,Hold,0.59,18.1,26.9,2.02,53.37,16.91,46.8
A,"Agilent Technologies,",Healthcare,Diagnostics & Research,148.44,-0.01,29.9,69.0,41924198400,160.27,108.35,77.2,Buy,1.23,7.2,19.6,5.88,49.73,21.33,60.0
APD,"Air Products and Chemicals,",Basic Materials,Specialty Chemicals,303.23,0.79,21.0,241.0,67524935680,314.87,229.11,86.4,Buy,0.75,12.6,-0.4,4.86,110.09,0.02,4.6
ABNB,"Airbnb,",Consumer Cyclical,Travel Services,183.25,2.21,41.9,0.0,109727473664,187.12,110.81,94.9,Buy,1.14,13.2,20.4,13.86,32.0,34.54,33.4
AKAM,"Akamai Technologies,",Technology,Software - Infrastructure,115.2,-6.32,44.7,0.0,16556152832,165.45,70.82,46.9,Buy,0.65,4.3,9.5,3.48,196.67,8.92,-26.8
ALB,Albemarleoration,Basic Materials,Specialty Chemicals,132.71,-0.96,491.5,122.0,15660451840,221.0,71.25,41.0,Buy,1.32,5.9,3.8,1.95,18.98,2.65,31.1
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,45.84,-2.34,,614.0,7888847872,88.24,39.41,13.2,Hold,1.17,2.8,-36.1,0.5,68.67,-4.08,-11.9
ALGN,"Align Technology,",Healthcare,Medical Instruments & Supplies,167.91,-1.9,29.7,0.0,11928302592,200.44,122.0,58.5,Buy,1.65,4.1,10.0,2.83,2.85,10.15,-12.1
ALLE,Allegion plc,Industrials,Security & Protection Services,159.83,-1.4,21.3,131.0,13591429120,183.11,125.0,59.9,Buy,0.84,4.3,15.4,6.42,104.89,33.73,16.2
LNT,Alliant Energyoration,Utilities,Utilities - Regulated Electric,69.98,-0.53,22.3,304.0,18144745472,78.81,63.28,43.1,Buy,0.54,4.4,18.4,2.41,160.95,11.13,-4.0
ALL,Allstateoration (The),Financial Services,Insurance - Property & Casualty,261.15,1.18,5.2,167.0,66033852416,277.22,188.08,82.0,Buy,0.16,70.1,19.0,2.09,22.26,46.11,61.2
GOOGL,Alphabet,Communication Services,Internet Content & Information,344.2,0.06,17.3,26.0,4209543741440,408.61,196.6,69.6,Buy,1.24,445.9,54.8,6.76,18.86,48.68,294.0
GOOG,Alphabet,Communication Services,Internet Content & Information,341.28,-0.05,17.1,26.0,4173832126464,404.47,197.46,69.5,Buy,1.24,445.9,54.8,6.71,18.86,48.68,294.0
MO,"Altria Group,",Consumer Defensive,Tobacco,65.19,1.92,13.5,663.0,108850610176,77.06,54.7,46.9,Hold,0.49,20.4,39.0,,,,-2.7
AMZN,"Amazon.com,",Consumer Cyclical,Internet Retail,259.45,-0.71,21.0,0.0,2798509096960,287.2,196.0,69.6,Buy,1.45,775.7,17.4,5.07,45.62,30.56,242.3
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,45.86,0.72,19.1,571.0,21203173376,50.94,36.25,65.4,Buy,0.59,23.5,4.7,1.8,128.29,9.4,25.9
AEE,Amerenoration,Utilities,Utilities - Regulated Electric,109.67,0.18,19.3,274.0,30361399296,118.32,96.57,60.2,Buy,0.48,8.4,18.6,2.22,157.85,11.94,11.9
AAL,"American Airlines Group,",Industrials,Airlines,14.05,-2.63,5.8,0.0,9300677632,18.79,10.09,45.5,Buy,1.35,58.3,-0.6,,,,-88.2
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,126.35,-0.14,21.9,300.0,68784611328,140.58,105.7,59.2,Buy,0.51,22.8,13.8,2.14,160.79,10.13,-43.2
AXP,American Express Company,Financial Services,Credit Services,338.52,0.69,20.4,113.0,228605870080,387.49,290.97,49.3,Buy,1.05,70.9,16.1,6.67,172.38,34.38,11.0
AIG,"American International Group, I",Financial Services,Insurance - Diversified,76.12,0.41,13.8,264.0,39802630144,87.29,71.25,30.4,Buy,0.52,26.7,11.1,0.98,22.47,7.22,-10.1
AMT,American Toweroration (REI,Real Estate,REIT - Specialty,172.33,0.06,27.8,405.0,80298901504,214.79,160.06,22.4,Buy,0.89,10.9,31.1,21.59,438.72,33.91,138.5
AWK,"American Water Works Company, I",Utilities,Utilities - Regulated Water,136.27,1.43,23.3,266.0,27080800256,147.87,120.57,57.5,Hold,0.58,5.3,21.3,2.32,137.75,10.1,8.6
AMP,"Ameriprise Financial,",Financial Services,Asset Management,562.12,0.09,13.6,121.0,49691406336,572.56,422.37,93.0,Buy,1.14,19.8,19.9,7.81,67.58,63.43,11.7
AME,"AMETEK,",Industrials,Specialty Industrial Machinery,249.99,-1.64,37.2,54.0,57298460672,261.16,179.24,86.4,Buy,1.0,7.9,20.0,5.09,20.52,14.56,14.2
